No. overall,No. in season,Title,Directed by,Written by,Original release date,English air date,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,No. overall [n 1],Title [n 8],Original release date [n 3],Unnamed: 6,No.,Unnamed: 3,Volume,Volume.1,Volume.2,Episodes,Release date,Ref.,"('Volume', 'Volume')","('Volume', 'Volume.1')","('Volume', 'Volume.2')","('Episodes', 'Episodes')","('Release date', 'USA')","('Release date', 'UK')","('Release date', 'Australia')","('ISBN', 'ISBN')","('Ref.', 'Ref.')",vteOne Piece by Eiichiro Oda,vteOne Piece by Eiichiro Oda.1,vteOne Piece by Eiichiro Oda.2,0,1
,,,,,,,,,,,,,,,,,,,,ONE PIECE Log Collection,"""THRILLER BARK""",337–349,"August 24, 2012",[332],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,ONE PIECE Log Collection,"""OARS""",350–363,"December 21, 2012",[333],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,ONE PIECE Log Collection,"""BROOK""",364–381,"December 21, 2012",[334],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,ONE PIECE Log Collection,"""SHABODY""",384–393,"July 26, 2013",[335],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,ONE PIECE Log Collection,"""ROOKIES""",394–405,"August 23, 2013",[336],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,ONE PIECE Log Collection,"""HANCOCK""",408–421,"December 20, 2013",[337],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,ONE PIECE Log Collection,"""IMPEL DOWN""","422–425, 430-441","July 25, 2014",[338],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,ONE PIECE Log Collection,"""MAGELLAN""",442–458,"July 25, 2014",[339],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,ONE PIECE Log Collection,"""MARINEFORD""",459–476,"August 22, 2014",[340],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,ONE PIECE Log Collection,"""ACE""","477-491, 493–496","August 22, 2014",[341],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,ONE PIECE Log Collection,"""PROMISE""",497–516,"September 26, 2014",[342],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,ONE PIECE Log Collection Special,"""JIDAIGEKI""","SP4, 291-292, 303, 406-407","October 23, 2015",[343],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Season Five,Voyage One,264–275,"July 23, 2013",,"September 18, 2013",ISBN N/A,[344],,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Season Five,Voyage Two,276–287,"September 3, 2013",,"November 20, 2013",ISBN N/A,[345],,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Season Five,Voyage Three,288–299,"October 15, 2013",,"February 19, 2014",ISBN N/A,[346],,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Season Five,Voyage Four,300–312,"December 3, 2013",,"May 21, 2014",ISBN N/A,[347],,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Season Five,Voyage Five,313–324,"January 14, 2014",,"June 18, 2014",ISBN N/A,[348],,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Season Five,Voyage Six,325–336,"March 4, 2014",,"July 23, 2014",ISBN N/A,[349],,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Season Six,Voyage One,337–348,"September 30, 2014",,"January 7, 2015",ISBN N/A,[350][351],,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Season Six,Voyage Two,349–360,"November 18, 2014",,"February 18, 2015",ISBN N/A,[352][353],,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Season Six,Voyage Three,361–372,"January 13, 2015",,"May 20, 2015",ISBN N/A,[354][355],,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Season Six,Voyage Four,373–384,"April 7, 2015",,"June 10, 2015",ISBN N/A,[356][357],,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Season Seven,Voyage One,385–396,"July 14, 2015",,"September 9, 2015",ISBN N/A,[358][359],,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Season Seven,Voyage Two,397–409,"September 1, 2015",,"November 18, 2015",ISBN N/A,[360][361],,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Season Seven,Voyage Three,410–421,"October 27, 2015",,"January 13, 2016",ISBN N/A,[362][363],,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Season Seven,Voyage Four,422–433,"December 15, 2015",,"March 2, 2016",ISBN N/A,[364][365],,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Season Seven,Voyage Five,434–445,"January 26, 2016",,"April 4, 2016",ISBN N/A,[366][367],,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Season Seven,Voyage Six,446–456,"April 26, 2016",,"July 6, 2016",ISBN N/A,[368][369],,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Season Eight,Voyage One,457–468,"May 31, 2016",,"October 5, 2016",ISBN N/A,[366][367],,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Season Eight,Voyage Two,469–480,"July 26, 2016",,"November 2, 2016",ISBN N/A,[368][369],,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Season Eight,Voyage Three,481–491,"September 20, 2016",,"December 7, 2016",ISBN N/A,[370][371],,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Season Eight,Voyage Four,493–504,"November 8, 2016",,"January 11, 2017",ISBN N/A,[372][373],,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Season Eight,Voyage Five,505–516,"December 13, 2016",,"March 8, 2017",ISBN N/A,[374][375],,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Collection,11,253–275,"February 3, 2015","August 10, 2015",,ISBN N/A,[376][377],,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Collection,12,276–299,"April 21, 2015","December 28, 2015",,ISBN N/A,[378][379],,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Collection,13,300–324,"July 14, 2015","March 28, 2016",,ISBN N/A,[380][381],,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Collection,14,325–348,"November 10, 2015","July 25, 2016",,ISBN N/A,[382][383],,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Collection,15,349–372,"March 22, 2016","January 23, 2017",,ISBN N/A,[384][385],,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Collection,16,373–396,"June 28, 2016","March 27, 2017",,ISBN N/A,[386],,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Collection,17,397–421,"October 11, 2016","June 25, 2018",,ISBN N/A,[387][388],,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Collection,18,422–445,"February 14, 2017","August 20, 2018",,ISBN N/A,[389],,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Collection,19,446–468,"May 23, 2017","October 22, 2018",,ISBN N/A,[390],,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Collection,20,469–491,"September 19, 2017","December 17, 2018",,ISBN N/A,[391],,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Collection,21,493–516,"December 5, 2017","March 16, 2020",,ISBN N/A,[392][393],,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Collection Box,Three,206–299,"March 31, 2015",,"December 7, 2016",ISBN N/A,[394],,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Collection Box,Four,300–396,,,"December 7, 2016",ISBN N/A,[395],,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Collection Box,Five,397–491,,,"September 6, 2017",ISBN N/A,[396],,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Voyage Collection,6,253–299,,,"January 10, 2018",ISBN N/A,[397],,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Voyage Collection,7,300–348,,,"February 21, 2018",ISBN N/A,[398],,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Voyage Collection,8,349–396,,,"March 7, 2018",ISBN N/A,[399],,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Voyage Collection,9,397–445,,,"May 9, 2018",ISBN N/A,[400],,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Voyage Collection,10,446–491,,,"July 4, 2018",ISBN N/A,[401],,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Media,"Manga Volumes Chapters 1–186 187–388 389–594 595–806 807–1015 1016–current Wanted! Monsters Koisuru One Piece AnimeEpisodes First list Season 1 2 3 4 5 6 7 8 Second list 9 10 11 12 13 14 Third list 15 16 17 18 19 Fourth list 20 ""Luffy's Peak - Attained! Fifth Gear"" 21 Films One Piece Dead End no Bōken The Cursed Holy Sword Baron Omatsuri and the Secret Island The Desert Princess and the Pirates: Adventures in Alabasta Strong World Z Gold Stampede Red Music ""Lost Man/Sailing Day"" ""Mirai Kōkai"" ""Crazy Rainbow"" ""Share the World / We Are!"" ""Fight Together"" Uta's Songs: One Piece Film Red ""New Genesis"" ""I'm Invincible"" Other Television specials Video games Become The Pirate King! Grand Battle! (2001) Set Sail Pirate Crew! Grand Battle! 2 Grand Battle! (2005) One Piece Pirates' Carnival Grand Adventure Unlimited Adventure Unlimited Cruise Grand Collection Pirate Warriors 1 2 3 4 Romance Dawn Unlimited World Red Treasure Cruise Burning Blood Bounty Rush World Seeker Odyssey Related Jump Super Stars Jump Ultimate Stars Battle Stadium D.O.N J-Stars Victory VS Jump Force Other Live-action series soundtrack Tokyo One Piece Tower Super Kabuki II: One Piece Card Game One Piece: Heroines",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manga,Volumes Chapters 1–186 187–388 389–594 595–806 807–1015 1016–current Wanted! Monsters Koisuru One Piece,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anime,"Episodes First list Season 1 2 3 4 5 6 7 8 Second list 9 10 11 12 13 14 Third list 15 16 17 18 19 Fourth list 20 ""Luffy's Peak - Attained! Fifth Gear"" 21 Films One Piece Dead End no Bōken The Cursed Holy Sword Baron Omatsuri and the Secret Island The Desert Princess and the Pirates: Adventures in Alabasta Strong World Z Gold Stampede Red Music ""Lost Man/Sailing Day"" ""Mirai Kōkai"" ""Crazy Rainbow"" ""Share the World / We Are!"" ""Fight Together"" Uta's Songs: One Piece Film Red ""New Genesis"" ""I'm Invincible"" Other Television specials",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Episodes,"First list Season 1 2 3 4 5 6 7 8 Second list 9 10 11 12 13 14 Third list 15 16 17 18 19 Fourth list 20 ""Luffy's Peak - Attained! Fifth Gear"" 21",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Films,One Piece Dead End no Bōken The Cursed Holy Sword Baron Omatsuri and the Secret Island The Desert Princess and the Pirates: Adventures in Alabasta Strong World Z Gold Stampede Red,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Music,"""Lost Man/Sailing Day"" ""Mirai Kōkai"" ""Crazy Rainbow"" ""Share the World / We Are!"" ""Fight Together"" Uta's Songs: One Piece Film Red ""New Genesis"" ""I'm Invincible""",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Television specials,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Video games,Become The Pirate King! Grand Battle! (2001) Set Sail Pirate Crew! Grand Battle! 2 Grand Battle! (2005) One Piece Pirates' Carnival Grand Adventure Unlimited Adventure Unlimited Cruise Grand Collection Pirate Warriors 1 2 3 4 Romance Dawn Unlimited World Red Treasure Cruise Burning Blood Bounty Rush World Seeker Odyssey Related Jump Super Stars Jump Ultimate Stars Battle Stadium D.O.N J-Stars Victory VS Jump Force,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Become The Pirate King! Grand Battle! (2001) Set Sail Pirate Crew! Grand Battle! 2 Grand Battle! (2005) One Piece Pirates' Carnival Grand Adventure Unlimited Adventure Unlimited Cruise Grand Collection Pirate Warriors 1 2 3 4 Romance Dawn Unlimited World Red Treasure Cruise Burning Blood Bounty Rush World Seeker Odyssey,Become The Pirate King! Grand Battle! (2001) Set Sail Pirate Crew! Grand Battle! 2 Grand Battle! (2005) One Piece Pirates' Carnival Grand Adventure Unlimited Adventure Unlimited Cruise Grand Collection Pirate Warriors 1 2 3 4 Romance Dawn Unlimited World Red Treasure Cruise Burning Blood Bounty Rush World Seeker Odyssey,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Related,Jump Super Stars Jump Ultimate Stars Battle Stadium D.O.N J-Stars Victory VS Jump Force,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Live-action series soundtrack Tokyo One Piece Tower Super Kabuki II: One Piece Card Game One Piece: Heroines,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Characters,Monkey D. Luffy Roronoa Zoro Nami Usopp Sanji Tony Tony Chopper Nico Robin Franky Brook,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Related,Straw Hat Pirates' Jolly Roger Onepiece,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category,Category,Category,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manga,Volumes Chapters 1–186 187–388 389–594 595–806 807–1015 1016–current Wanted! Monsters Koisuru One Piece
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anime,"Episodes First list Season 1 2 3 4 5 6 7 8 Second list 9 10 11 12 13 14 Third list 15 16 17 18 19 Fourth list 20 ""Luffy's Peak - Attained! Fifth Gear"" 21 Films One Piece Dead End no Bōken The Cursed Holy Sword Baron Omatsuri and the Secret Island The Desert Princess and the Pirates: Adventures in Alabasta Strong World Z Gold Stampede Red Music ""Lost Man/Sailing Day"" ""Mirai Kōkai"" ""Crazy Rainbow"" ""Share the World / We Are!"" ""Fight Together"" Uta's Songs: One Piece Film Red ""New Genesis"" ""I'm Invincible"" Other Television specials"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Episodes,"First list Season 1 2 3 4 5 6 7 8 Second list 9 10 11 12 13 14 Third list 15 16 17 18 19 Fourth list 20 ""Luffy's Peak - Attained! Fifth Gear"" 21"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Films,One Piece Dead End no Bōken The Cursed Holy Sword Baron Omatsuri and the Secret Island The Desert Princess and the Pirates: Adventures in Alabasta Strong World Z Gold Stampede Red
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Music,"""Lost Man/Sailing Day"" ""Mirai Kōkai"" ""Crazy Rainbow"" ""Share the World / We Are!"" ""Fight Together"" Uta's Songs: One Piece Film Red ""New Genesis"" ""I'm Invincible"""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Television specials
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Video games,Become The Pirate King! Grand Battle! (2001) Set Sail Pirate Crew! Grand Battle! 2 Grand Battle! (2005) One Piece Pirates' Carnival Grand Adventure Unlimited Adventure Unlimited Cruise Grand Collection Pirate Warriors 1 2 3 4 Romance Dawn Unlimited World Red Treasure Cruise Burning Blood Bounty Rush World Seeker Odyssey Related Jump Super Stars Jump Ultimate Stars Battle Stadium D.O.N J-Stars Victory VS Jump Force
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Become The Pirate King! Grand Battle! (2001) Set Sail Pirate Crew! Grand Battle! 2 Grand Battle! (2005) One Piece Pirates' Carnival Grand Adventure Unlimited Adventure Unlimited Cruise Grand Collection Pirate Warriors 1 2 3 4 Romance Dawn Unlimited World Red Treasure Cruise Burning Blood Bounty Rush World Seeker Odyssey,Become The Pirate King! Grand Battle! (2001) Set Sail Pirate Crew! Grand Battle! 2 Grand Battle! (2005) One Piece Pirates' Carnival Grand Adventure Unlimited Adventure Unlimited Cruise Grand Collection Pirate Warriors 1 2 3 4 Romance Dawn Unlimited World Red Treasure Cruise Burning Blood Bounty Rush World Seeker Odyssey
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Related,Jump Super Stars Jump Ultimate Stars Battle Stadium D.O.N J-Stars Victory VS Jump Force
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Live-action series soundtrack Tokyo One Piece Tower Super Kabuki II: One Piece Card Game One Piece: Heroines
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Episodes,"First list Season 1 2 3 4 5 6 7 8 Second list 9 10 11 12 13 14 Third list 15 16 17 18 19 Fourth list 20 ""Luffy's Peak - Attained! Fifth Gear"" 21"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Films,One Piece Dead End no Bōken The Cursed Holy Sword Baron Omatsuri and the Secret Island The Desert Princess and the Pirates: Adventures in Alabasta Strong World Z Gold Stampede Red
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Music,"""Lost Man/Sailing Day"" ""Mirai Kōkai"" ""Crazy Rainbow"" ""Share the World / We Are!"" ""Fight Together"" Uta's Songs: One Piece Film Red ""New Genesis"" ""I'm Invincible"""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Television specials
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Become The Pirate King! Grand Battle! (2001) Set Sail Pirate Crew! Grand Battle! 2 Grand Battle! (2005) One Piece Pirates' Carnival Grand Adventure Unlimited Adventure Unlimited Cruise Grand Collection Pirate Warriors 1 2 3 4 Romance Dawn Unlimited World Red Treasure Cruise Burning Blood Bounty Rush World Seeker Odyssey,Become The Pirate King! Grand Battle! (2001) Set Sail Pirate Crew! Grand Battle! 2 Grand Battle! (2005) One Piece Pirates' Carnival Grand Adventure Unlimited Adventure Unlimited Cruise Grand Collection Pirate Warriors 1 2 3 4 Romance Dawn Unlimited World Red Treasure Cruise Burning Blood Bounty Rush World Seeker Odyssey
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Related,Jump Super Stars Jump Ultimate Stars Battle Stadium D.O.N J-Stars Victory VS Jump Force
