0,1,"('Season', 'Season')","('Season title', 'Season title')","('Episodes', 'Episodes')","('Episodes', 'Episodes.1')","('Originally released', 'First released')","('Originally released', 'Last released')",Orig.,4Kids,No. in season,4Kids title Original Japanese & Funimation titles[14],Directed by,Written by,Rank[n 1] Rating,Original release date,English air date,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,4Kids title Original Japanese & Funimation titles[111],4Kids title/Funimation title Original Japanese title,4Kids title / Funimation title Original Japanese title,Unnamed: 8,4Kids title / Funimation title Original Japanese title[264],No. overall,Title [264],English air date [n 10],Unnamed: 7,Title,English air date [n 12],English air date [n 13],No.,Unnamed: 3,Volume,Volume.1,Volume.2,Episodes,Release date,Ref.,"('Volume', 'Volume')","('Volume', 'Volume.1')","('Volume', 'Volume.2')","('Release date', 'USA')","('Release date', 'Australia')","('ISBN', 'ISBN')","('Ref.', 'Ref.')","('Release date', 'UK')",vteOne Piece by Eiichiro Oda,vteOne Piece by Eiichiro Oda.1,vteOne Piece by Eiichiro Oda.2
,,,,,,,,Buggy's Adventure,Buggy's Adventure,Buggy's Adventure,Buggy's Adventure,Buggy's Adventure,Buggy's Adventure,Buggy's Adventure,Buggy's Adventure,Buggy's Adventure,Buggy's Adventure,Buggy's Adventure,Buggy's Adventure,Buggy's Adventure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,46,—,46,"""Chase Straw Hat! Little Buggy's Big Adventure!"" Transliteration: ""Mugiwara o Oe! Chiisana Bagī no Dai Bōken"" (Japanese: 麦わらを追え!小さなバギーの大冒険)",Munehisa Sakai,Junki Takegami,6 14.4,"November 1, 2000[92]",—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,47,—,47,"""The Wait is Over! The Return of Captain Buggy!"" Transliteration: ""Omachi Ka Ne! Aa Fukkatsu no Bagī Senchō"" (Japanese: お待ちかね!ああ復活のバギー船長)",Hidehiko Kadota,Junki Takegami,8 13.5,"November 8, 2000[93]",—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Loguetown,Loguetown,Loguetown,Loguetown,Loguetown,Loguetown,Loguetown,Loguetown,Loguetown,Loguetown,Loguetown,Loguetown,Loguetown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,48,40a,48,"""Roguetown"" ""The Town of the Beginning and the End! Landfall at Logue Town!"" Transliteration: ""Hajimari to Owari no Machi – Rōgutaun Jōriku"" (Japanese: 始まりと終わりの町·ローグタウン上陸)",Junichi Fujise,Michiru Shimada,5 15.7,"November 22, 2000[94]","July 2, 2005[95]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,49,40b41a,49,"""Roguetown"" / ""Switched Blades"" ""Kitetsu III and Yubashiri! Zoro’s New Swords and the Woman Sergeant Major!"" Transliteration: ""Sandai Kitetsu to Yubashiri! Zoro no Shintō to Josōchō"" (Japanese: 三代鬼徹と雪走!ゾロの新刀と女曹長)",Yoshihiro Ueda,Michiru Shimada,5 15.7,"November 22, 2000[94]","July 2, 2005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,49,40b41a,49,"""Roguetown"" / ""Switched Blades"" ""Kitetsu III and Yubashiri! Zoro’s New Swords and the Woman Sergeant Major!"" Transliteration: ""Sandai Kitetsu to Yubashiri! Zoro no Shintō to Josōchō"" (Japanese: 三代鬼徹と雪走!ゾロの新刀と女曹長)",Yoshihiro Ueda,Michiru Shimada,5 15.7,"November 22, 2000[94]","July 9, 2005[96]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,50,—,50,"""Usopp vs. Daddy the Parent! Showdown at High!""[n 2] Transliteration: ""Usoppu vs Kozure no Dadi Mahiru no Kettō"" (Japanese: ウソップVS子連れのダディ真昼の決闘)",Katsumi Tokoro,Michiru Shimada,5 15.2[97],"November 29, 2000[97]",—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,51,41b42a,51,"""Switched Blades"" / ""Sanji Sizzles"" ""Fiery Cooking Battle? Sanji vs. the Beautiful Chef!"" Transliteration: ""Honō no Ryōri Batoru? Sanji vs Bijin Shefu"" (Japanese: 炎の料理バトル?サンジVS美人シェフ)",Munehisa Sakai,Michiru Shimada,6 14.0,"December 6, 2000[98]","July 9, 2005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,51,41b42a,51,"""Switched Blades"" / ""Sanji Sizzles"" ""Fiery Cooking Battle? Sanji vs. the Beautiful Chef!"" Transliteration: ""Honō no Ryōri Batoru? Sanji vs Bijin Shefu"" (Japanese: 炎の料理バトル?サンジVS美人シェフ)",Munehisa Sakai,Michiru Shimada,6 14.0,"December 6, 2000[98]","July 16, 2005[99]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,52,42b43a,52,"""Sanji Sizzles"" / ""Buggy's Back"" ""Buggy's Revenge! The Man Who Smiles On the Execution Platform!"" Transliteration: ""Bagī no Ribenji! Shokeidai de Warau Otoko!"" (Japanese: バギーのリベンジ!処刑台で笑う男!)",Hidehiko Kadota,Michiru Shimada,5 14.7,"December 13, 2000[100]","July 16, 2005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,52,42b43a,52,"""Sanji Sizzles"" / ""Buggy's Back"" ""Buggy's Revenge! The Man Who Smiles On the Execution Platform!"" Transliteration: ""Bagī no Ribenji! Shokeidai de Warau Otoko!"" (Japanese: バギーのリベンジ!処刑台で笑う男!)",Hidehiko Kadota,Michiru Shimada,5 14.7,"December 13, 2000[100]","July 23, 2005[101]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,53,43b,53,"""Buggy's Back"" ""The Legend Has Started! Head for the Grand Line!"" Transliteration: ""Densetsu wa Hajimatta! Mezase Idai Naru Kōro"" (Japanese: 伝説は始まった!目指せ偉大なる航路)",Ken Koyama,Michiru Shimada,6 14.1,"January 10, 2001[102]","July 23, 2005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Warship Island,Warship Island,Warship Island,Warship Island,Warship Island,Warship Island,Warship Island,Warship Island,Warship Island,Warship Island,Warship Island,Warship Island,Warship Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,54,—,54,"""Precursor to a New Adventure! Apis, a Mysterious Girl!"" Transliteration: ""Arata Naru Bōken no Yokan! Nazo no Shōjo Apisu"" (Japanese: 新たなる冒険の予感!謎の少女アピス)",Kōnosuke Uda,Junki Takegami,8 14.1,"January 17, 2001[103]",—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,55,—,55,"""Miraculous Creature! Apis' Secret and the Legendary Island!"" Transliteration: ""Kiseki no Seibutsu! Apisu no Himitsu to Densetsu no Shima"" (Japanese: 奇跡の生物!アピスの秘密と伝説の島)",Harume Kosaka,Junki Takegami,7 15.3,"January 24, 2001[104]",—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,56,—,56,"""Eric Attacks! Great Escape from Warship Island!"" Transliteration: ""Erikku Shutsugeki! Gunkanjima Kara no Dai Dasshutsu!"" (Japanese: エリック出撃!軍艦島からの大脱出!)",Hidehiko Kadota,Junki Takegami,6 14.7,"January 31, 2001[105]",—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,57,—,57,"""A Solitary Island in the Distant Sea! The Legendary Lost Island!"" Transliteration: ""Zekkai no Kotō! Densetsu no Rosuto Airando"" (Japanese: 絶海の孤島!伝説のロストアイランド)",Yoko Ikeda,Junki Takegami,8 14.6,"February 7, 2001[106]",—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,58,—,58,"""Showdown in the Ruins! Tense Zoro vs. Eric!"" Transliteration: ""Haikyō no Kettō! Kinpaku no Zoro tai Erikku!"" (Japanese: 廃虚の決闘!緊迫のゾロVSエリック)",Munehisa Sakai,Junki Takegami,5 16.6,"February 21, 2001[107]",—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,59,—,59,"""Luffy, Completely Surrounded! Commodore Nelson's Secret Strategy!"" Transliteration: ""Rufu Kanzen Hōi! Teitoku Neruson no Hissaku"" (Japanese: ルフィ完全包囲!提督ネルソンの秘策)",Junichi Fujise,Junki Takegami,5 16.6,"February 21, 2001[107]",—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,60,—,60,"""Through the Sky They Soar! The 1000 Year Legend Lives Again!"" Transliteration: ""Ōsora o Mau Mono! Yomigaeru Sennen no Densetsu!"" (Japanese: 大空を舞うもの!甦る千年の伝説)",Yoshihiro Ueda,Junki Takegami,4 16.3,"February 28, 2001[108]",—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,61,44a,61,"""Fantastic Voyage"" ""An Angry Showdown! Cross the Red Line!"" Transliteration: ""Ikari no Ketchaku! Akai Dairiku o Norikoero!"" (Japanese: 怒りの決着!赤い大陸を乗り越えろ!)",Hidehiko Kadota,Junki Takegami,4 16.0,"March 7, 2001[109]","July 30, 2005[110]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Reverse Mountain,Reverse Mountain,Reverse Mountain,,Reverse Mountain,Reverse Mountain,Reverse Mountain,Reverse Mountain,Reverse Mountain,Reverse Mountain,Reverse Mountain,Reverse Mountain,Reverse Mountain,Reverse Mountain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,62,44b,1,,Kōnosuke Uda,Michiru Shimada,6 13.7,"March 14, 2001[n 3]","July 30, 2005",,,,,"""Fantastic Voyage"" ""The First Line of Defence? The Giant Whale Laboon Appears!"" Transliteration: ""Sasho no Toride? Kyodai Kujira Rabūn Arawareru"" (Japanese: 最初の砦?巨大クジラ·ラブーン現る)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,63,-,2,,Harume Kosaka,Michiru Shimada,6 13.7,"March 21, 2001[n 3][112]",—,,,,,"""A Promise Between Men! Luffy and the Whale Vow to Meet Again!"" Transliteration: ""Otoko no Yakusoku! Rufi to Kujira Saikai no Chikai"" (Japanese: 男の約束! ルフィとクジラ再会の誓い)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Whiskey Peak,Whiskey Peak,Whiskey Peak,,Whiskey Peak,Whiskey Peak,Whiskey Peak,Whiskey Peak,Whiskey Peak,Whiskey Peak,Whiskey Peak,Whiskey Peak,Whiskey Peak,Whiskey Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,64,44c,3,,Yoko Ikeda,Michiru Shimada,2 17.2,"April 15, 2001[n 4][113]","July 30, 2005[114]",,,,,"""Fantasic Voyage"" ""A Town That Welcomes Pirates? Setting Foot on Whiskey Peak!"" Transliteration: ""Kaizoku Kangei no Machi? Uisukīpīku Jōriku"" (Japanese: 海賊歓迎の町? ウイスキーピーク上陸)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,65,45,4,,Yoshihiro Ueda,Michiru Shimada,2 17.2,"April 15, 2001[n 4][113]","August 6, 2005[115]",,,,,"""Baroque Works"" ""Explosion! The Three Swords Style! Zoro vs. Baroque Works!"" Transliteration: ""Sakuretsu Santōryū! Zoro vs Barokku Wākusu"" (Japanese: 炸裂三刀流! ゾロVSバロックワークス)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,66,46,5,,Hidehiko Kadota,Michiru Shimada,5[n 5] 14.1,"April 22, 2001[116]","August 13, 2005[117]",,,,,"""Luffy vs. Zoro"" ""All Out Battle! Luffy vs. Zoro! Mysterious Grand Duel!"" Transliteration: ""Shinken Shōbu! Rufi vs Zoro Nazo no Dai Kettō"" (Japanese: 真剣勝負! ルフィVSゾロ謎の大決闘!)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,67,47a,6,,Kōnosuke Uda,Michiru Shimada,4 15.0,"April 29, 2001[118]","August 20, 2005[119]",,,,,"""Escape From Misty Peak"" ""Deliver Princess Vivi! The Luffy Pirates Set Sail!"" Transliteration: ""Ōjo Bibi o Todokero! Rufi Kaizoku Dan Shukkō"" (Japanese: 王女ビビを届けろ! ルフィ海賊団出航)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Diary of Coby-Meppo,Diary of Coby-Meppo,Diary of Coby-Meppo,,Diary of Coby-Meppo,Diary of Coby-Meppo,Diary of Coby-Meppo,Diary of Coby-Meppo,Diary of Coby-Meppo,Diary of Coby-Meppo,Diary of Coby-Meppo,Diary of Coby-Meppo,Diary of Coby-Meppo,Diary of Coby-Meppo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,68,—,7,,Harume Kosaka,Michiru Shimada,3 14.6,"May 13, 2001[120]",—,,,,,"""Try Hard, Coby! Coby and Helmeppo's Struggles in the Marines!"" Transliteration: ""Ganbare Kobī! Kobimeppo Kaigun Funtōki"" (Japanese: 頑張れコビー! コビメッポ海軍奮闘記)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,69,—,8,,Munehisa Sakai,Michiru Shimada,3 15.8,"May 20, 2001[121]",—,,,,,"""Coby and Helmeppo's Resolve! Vice-Admiral Garp's Parental Affection!"" Transliteration: ""Kobimeppo no Ketsui! Gāpu Chūshō no Oyagokoro"" (Japanese: コビメッポの決意! ガープ中将の親心)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Little Garden,Little Garden,Little Garden,,Little Garden,Little Garden,Little Garden,Little Garden,Little Garden,Little Garden,Little Garden,Little Garden,Little Garden,Little Garden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,70,—,9,,Yuji Endo,Junki Takegami,6 13.1,"May 27, 2001[122]",—,,,,,"""An Ancient Island! The Shadow Hiding in Little Garden!"" Transliteration: ""Taiko no Shima! Ritoru Gāden ni Hisomu Kage!"" (Japanese: 太古の島! リトルガーデンに潜む影!)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,71,—,10,,Hidehiko Kadota,Junki Takegami,3 14.7,"June 3, 2001[123]",—,,,,,"""Huge Duel! The Giants Dorry and Broggy!"" Transliteration: ""Dekkai Kettō! Kyojin Dorī to Burogī"" (Japanese: でっかい決闘! 巨人ドリーとブロギー)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,72,—,11,,Yoko Ikeda,Junki Takegami,8 12.5,"June 17, 2001[124]",—,,,,,"""Luffy Gets Angry! A Dirty Trick Violates the Sacred Duel!"" Transliteration: ""Rufi Okoru! Seinaru Kettō ni Hiretsu na Wana"" (Japanese: ルフィ怒る! 聖なる決闘に卑劣な罠)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,73,—,12,,Yoshihiro Ueda,Junki Takegami,4 15.3,"June 24, 2001[125]",—,,,,,"""Broggy's Bitter Tears of Victory! The Conclusion of Elbaf!"" Transliteration: ""Burogī Shōri no Gōkyū! Erubafu no Ketchaku!"" (Japanese: ブロギー勝利の号泣! エルバフの決着)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,74,—,13,,Kōnosuke Uda,Junki Takegami,3 15.6,"July 15, 2001[126]",—,,,,,"""The Devilish Candle! Tears of Regret and Tears of Anger!"" Transliteration: ""Ma no Cyandoru! Munen no Namida to Okari no Namida"" (Japanese: 魔のキャンドル! 無念の涙と怒りの涙)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,75,—,14,,Junichi Fujise,Junki Takegami,6 12.8,"August 12, 2001[127]",—,,,,,"""A Hex on Luffy! Colors Trap!"" Transliteration: ""Rufi o Osō Maryoku! Karāzutorappu!"" (Japanese: ルフィを襲う魔力! カラーズトラップ)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,76,—,15,,Harume Kosaka,Junki Takegami,2 14.9,"August 19, 2001[n 6][128]",—,,,,,"""Time to Fight Back! Usopp's Quick Thinking and Fire Star!"" Transliteration: ""Iza Hangeki! Usoppu no Kiten to Kaenboshi!"" (Japanese: いざ反撃! ウソップの機転と火炎星!)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,77,47b,16,,Yuji Endo,Junki Takegami,2 14.9,"August 19, 2001[n 6][128]","August 20, 2005",,,,,"""Escape From Misty Peak"" ""Farewell Giant Island! Head for Alabasta!"" Transliteration: ""Saraba Kyojin no Shima! Arabasuta o Mezase"" (Japanese: さらば巨人の島! アラバスタを目指せ)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,78,48,1,,Yoshihiro Ueda,Junki Takegami,,"August 26, 2001[129]","August 27, 2005[130]",,,,,,"""Saving Nami""  ""Nami's Sick? Beyond the Snow Falling on the Sea!"" Transliteration: ""Nami ga byōki? Umi ni furu yuki no mukō ni!"" (Japanese: ナミが病気?海に降る雪の向こうに!)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,79,48,2,,Junji Shimizu,Junki Takegami,,"September 2, 2001[131][132]","August 27, 2005",,,,,,"""Saving Nami"" ""A Raid! The Tin Tyrant and Tin Plate Wapol!"" Transliteration: ""Kishū! Burikingu gō to Buriki no Waporu"" (Japanese: 奇襲!ブリキング号とブリキのワポル)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,80,48–49,3,,Munehisa Sakai,Michiru Shimada,,"September 9, 2001[133]","August 27, 2005 September 10, 2005[134]",,,,,,"""Saving Nami""/""Rabid Rabbits"" ""An Island without Doctors? Adventure in a Nameless Land!"" Transliteration: ""Isha no inai shima? Na mo naki kuni no bōken"" (Japanese: 医者のいない島?名も無き国の冒険!)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,81,49–50,4,,Kōnosuke Uda,Michiru Shimada,,"September 16, 2001[135]","September 10, 2005 September 17, 2005[136]",,,,,,"""Rabid Rabbits""/""Avalanche!"" ""Are You Happy? The Doctor Called Witch!"" Transliteration: ""Happī kai? Majo to yobareta isha!"" (Japanese: ハッピーかい?魔女と呼ばれた医者!)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,82,50,5,,Harume Kosaka,Michiru Shimada,,"October 7, 2001[n 7][137]","September 17, 2005",,,,,,"""Avalanche!"" ""Dalton's Resolve! Wapol's Corps Lands on the Island!"" Transliteration: ""Doruton no kakugo! Waporu gundan shima ni jōriku"" (Japanese: ドルトンの覚悟!ワポル軍団島に上陸)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,83,51,6,,Hidehiko Kadota,Michiru Shimada,,"October 7, 2001[n 7][137]","September 24, 2005[136]",,,,,,"""The Big Climb"" ""The Island Where Snow Lives! Climb the Drum Rockies!"" Transliteration: ""Yuki no sumi shima! Doramu Rokkī o nobore!"" (Japanese: 雪の住む島!ドラムロッキーを登れ!)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,84,52,7,,Daisuke Nishio,Michiru Shimada,,"October 21, 2001[138]","October 1, 2005[139]",,,,,,"""Tony Tony Chopper""  ""Blue-nosed Reindeer! Chopper's Secret!"" Transliteration: ""Tonakai wa aoppana! Choppā no himitsu!"" (Japanese: トナカイは青っ鼻!チョッパーの秘密)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,85,53,8,,Yoshihiro Ueda,Michiru Shimada,,"October 28, 2001[140]","October 8, 2005[141]",,,,,,"""Freaky""  ""An Outcast's Dream! Hiriluk the Quack!"" Transliteration: ""Hamidashimono no yume! Yabu isha Hiruruku!"" (Japanese: はみだし者の夢!やぶ医者ヒルルク!)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,86,54,9,,Kōnosuke Uda,Michiru Shimada,,"November 4, 2001[142]","October 15, 2005[143]",,,,,,"""The Impossible Dream"" ""Hiriluk's Cherry Blossoms and the Will that Gets Carried On!"" Transliteration: ""Hiruruku no sakura to uketsugare yuku ishi!"" (Japanese: ヒルルクの桜と受け継がれゆく意志!)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,87,55,10,,Junji Shimizu,Michiru Shimada,,"November 11, 2001[144]","October 22, 2005[145]",,,,,,"""Defending the Flag"" ""Fight Wapol's Crew! The Power of the Munch Munch Fruit!"" Transliteration: ""VS Waporu gundan! Bakubaku no mi no nōryoku!"" (Japanese: VSワポル軍団!バクバクの実の能力!)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,88,56,11,,Hidehiko Kadota,Michiru Shimada,,"November 18, 2001[146]","October 29, 2005[147]",,,,,,"""Let's Get Ready to Rumble""  ""Zoan-type Devil Fruit! Chopper's Seven-form Transformation!"" Transliteration: ""Zōn kei akuma no mi! Choppā Shichidan Hengei"" (Japanese: 動物系悪魔の実!チョッパー七段変形)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,89,57,12,,Junichi Fujise,Michiru Shimada,,"November 25, 2001[148]","November 5, 2005[149]",,,,,,"""The Once & Future King""  ""When the Kingdom's Rule Ends! The Flag of Faith Flies Forever!"" Transliteration: ""Ōkoku no shihai owaru toki! Shinnen no hata wa eien ni"" (Japanese: 王国の支配終る時!信念の旗は永遠に)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,90,58,13,,Munehisa Sakai,Michiru Shimada,,"December 2, 2001[150]","November 12, 2005[151]",,,,,,"""Doc Rock""  ""Hiriluk's Cherry Blossoms! Miracle in the Drum Rockies!"" Transliteration: ""Hiruruku no sakura! Doramu Rokkī no kiseki"" (Japanese: ヒルルクの桜!ドラムロッキーの奇跡)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,91,59,14,,Harume Kosaka,Michiru Shimada,,"December 9, 2001[152]","February 11, 2006[153]",,,,,,"""Heading For Disaster""  ""Goodbye Drum Island! I'm Going Out to Sea!"" Transliteration: ""Sayōnara Doramujima! Boku wa umi e deru!"" (Japanese: さようならドラム島!僕は海へ出る!)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,92,60,15,,Yuji Endo,Junki Takegami,,"December 9, 2001[152]","February 18, 2006[153]",,,,,,"""Face Off""  ""Alabasta's Hero and a Ballerina on the Ship!"" Transliteration: ""Arabasuta no eiyū to senjō no barerīna"" (Japanese: アラバスタの英雄と船上のバレリーナ)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Arrival in Alabasta,Arrival in Alabasta,Arrival in Alabasta,,Arrival in Alabasta,Arrival in Alabasta,,Arrival in Alabasta,Arrival in Alabasta,Arrival in Alabasta,Arrival in Alabasta,Arrival in Alabasta,Arrival in Alabasta,,,Arrival in Alabasta,Arrival in Alabasta,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,93,61,1,,Kōnosuke Uda,Junki Takegami,,"December 16, 2001[154]","February 25, 2006[155]",,,,,,,"""Boogie Powder"" ""Off to the Desert Kingdom! The Rain-Summoning Powder and the Rebel Army!"" Transliteration: ""Iza sabaku no kuni e! Ame o yobu kona to hanrangun"" (Japanese: いざ砂漠の国へ!雨を呼ぶ粉と反乱軍)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,94,62,2,,Junji Shimizu,Michiru Shimada,,"December 23, 2001[156]","March 4, 2006[157][158]",,,,,,,"""Chasing Luffy"" ""The Heroes Reunion! His Name is Fire Fist Ace!"" Transliteration: ""Gōketsutachi no saikai! Yatsu no na wa hiken no Ēsu"" (Japanese: 豪傑達の再会!奴の名は火拳のエース)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,95,63,3,,Hidehiko Kadota,Michiru Shimada,,"January 6, 2002[n 8][159]","March 11, 2006[160][161]",,,,,,,"""Oh, Brother!"" ""Ace and Luffy! Hot Emotions and Brotherly Bonds!"" Transliteration: ""Ēsu to Luffy! Atsuki omoi to kyōdai no kizuna"" (Japanese: エースとルフィ!熱き想いと兄弟の絆)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,96,64,4,,Yoko Ikeda,Michiru Shimada,,"January 13, 2002[162][163]","March 11, 2006[161] March 18, 2006[164]",,,,,,,"""All Dried Up"" ""Erumalu, the City of Green and the Kung Fu Dugongs!"" Transliteration: ""Midori no machi Erumaru to Kunfū Jugon!"" (Japanese: 緑の町エルマルとクンフージュゴン!)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,97,65,5,,Harume Kosaka,Junki Takegami,,"January 20, 2002[165]","March 25, 2006[166] April 29, 2006[167]",,,,,,,"""Humps, Bumps & Chumps"" ""Adventure in the Country of Sand! The Monsters that Live in the Scorching Land!"" Transliteration: ""Suna no kuni no bōken! Ennetsu no daichi ni sugomu mamono"" (Japanese: 砂の国の冒険!炎熱の大地に棲む魔物)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,98,66,6,,Daisuke Nishio,Junki Takegami,,"January 27, 2002[168]","April 5, 2006[169] May 6, 2006[170]",,,,,,,"""The Sand Trap"" ""Enter the Desert Pirates! The Men Who Live Freely!"" Transliteration: ""Sabaku no kaizokudan tōjō! Jiyū ni ikiru otokotachi"" (Japanese: 砂漠の海賊団登場!自由に生きる男達)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,99,67,7,,Munehisa Sakai,Junki Takegami,,"February 3, 2002[171]","April 6, 2006[172] May 13, 2006[173]",,,,,,,"""Tough Bluff"" ""False Fortitude! Camu, Rebel Soldier at Heart!"" Transliteration: ""Nisemono no iji! Kokoro no hanrangun Kamyu!"" (Japanese: ニセモノの意地!心の反乱軍カミュ!)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,100,68,8,,Yuji Endo,Junki Takegami,,"February 10, 2002[174]","April 10, 2006[175] May 20, 2006[176]",,,,,,,"""Kids of the Kingdom"" ""Rebel Warrior Koza! The Dream Vowed to Vivi!"" Transliteration: ""Hanrangun senshi Kōza! Bibi ni chikatta yume!"" (Japanese: 反乱軍戦士コーザ!ビビに誓った夢!)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,101,69,9,,Hidehiko Kadota,Michiru Shimada,,"February 17, 2002[177][178]","April 11, 2006[179] May 27, 2006[citation needed]",,,,,,,"""Scorpion"" ""Showdown in a Heat Haze! Ace vs. the Gallant Scorpion!"" Transliteration: ""Yōen no kettō! Ēsu vs otoko sukōpion"" (Japanese: 陽炎の決闘!エースVS男スコーピオン)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,102,70,10,,Kōnosuke Uda,Michiru Shimada,,"February 24, 2002[180]","April 12, 2006[181] June 3, 2006[182]",,,,,,,"""Secret Beneath the Sand"" ""Ruins and Lost Ways! Vivi, Her Friends, and the Country's Form!"" Transliteration: ""Kiseki to maigo! Bibi to nakama to kuni no katachi"" (Japanese: 遺跡と迷子!ビビと仲間と国のかたち)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
