No. overall [n 1],No. in season,Title [n 2],Directed by,Written by,Animation directed by,Original release date [n 3],Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
981,90,"""A New Member! 'First Son of the Sea' Jimbei!"" Transliteration: ""Arata na Nakama! Kaikyō no Jinbē!"" (Japanese: 新たな仲間！海侠のジンベエ！)",Yusuke Suzuki,Shōji Yonemura,Masahiro Shimanuki & Shigenori Taniguchi,"July 4, 2021",,,,,,
982,91,"""Kaido's Trump Card! The Tobi Roppo Appear!"" Transliteration: ""Kaidō no Kirifuda – Tobi Roppō Tōjō"" (Japanese: カイドウの切り札 飛び六胞登場)",Megumi Ishitani,Ryo Yamazaki,Yong-Ce Tu & Keita Saitō,"July 11, 2021",,,,,,
983,92,"""The Samurai Warriors' Earnestness! The Straw Hats Land at Onigashima!"" Transliteration: ""Samurai-tachi no Honki! Ichimi Onigashima Jōriku"" (Japanese: 侍たちの本気！一味鬼ヶ島上陸)",Directed by : Nanami Michibata Storyboarded by : Yutaka Nakashima,Atsuhiro Tomioka,Toshio Deguchi & Shingo Fujisaki,"July 18, 2021",,,,,,
984,93,"""Luffy Goes Out of Control?! Sneaking into Kaido's Banquet!"" Transliteration: ""Rufi Bōsō!? Sen'nyū Kaidō no Utage"" (Japanese: ルフィ暴走!? 潜入カイドウの宴)",Yasunori Koyama,Shōji Yonemura,Shigefumi Shingaki,"July 25, 2021",,,,,,
985,94,"""Thinking of Otama! Luffy's Furious Strike!"" Transliteration: ""O-Tama e no Omoi – Rufi Ikari no Ichigeki"" (Japanese: お玉への思い ルフィ怒りの一撃)",Katsumi Tokoro,Shinzō Fujita,Kazuya Hisada,"August 1, 2021",,,,,,
986,95,"""Fighting Music! An Ability That Harms Luffy!"" Transliteration: ""Tatakau Myūjikku! Rufi o Osou Nōryoku!"" (Japanese: 戦う音楽！ルフィを襲う能力！)",Shigeyasu Yamauchi,Hitoshi Tanaka,Majiro & LEE,"August 8, 2021",,,,,,
987,96,"""His Dream Broken?! The Trap That Lures Sanji!"" Transliteration: ""Yume Yabureru!? Sanji o Izanau Wana!"" (Japanese: 夢やぶれる!? サンジを誘う罠！)",Yutaka Nakashima,Tomohiro Nakayama,Kenji Yokoyama,"August 15, 2021",,,,,,
988,97,"""Reinforcements Arrive! The Commander of the Whitebeard Pirates!"" Transliteration: ""Engun Tōchaku! Shirohige Kaizokudan Taichō!"" (Japanese: 援軍到着！白ひげ海賊団隊長！)",Tasuku Shimaya,Shōji Yonemura,Shūichi Itō,"August 22, 2021",,,,,,
989,98,"""The Pact Between Men! The Fierce Fighting of Brachio Tank!"" Transliteration: ""Otoko no Chikai! Gekitō Burakio Tanku"" (Japanese: 漢の誓い！激闘ブラキオタンク)",Kōhei Kureta,Ryo Yamazaki,Kimitaka Itō,"August 29, 2021",,,,,,
990,99,"""Thunder Bagua! Here Comes Kaido's Son!"" Transliteration: ""Raimei Hakke! Tōjō Kaidō no Musuko"" (Japanese: 雷鳴八卦！登場カイドウの息子)",Tatsuya Nagamine,Atsuhiro Tomioka,Masahiro Kitazaki & Yong-Ce Tu,"September 5, 2021",,,,,,
991,100,"""Enemy or Ally? Luffy and Yamato!"" Transliteration: ""Teki ka? Mikata ka? Rufi to Yamato"" (Japanese: 敵か？味方か？ルフィとヤマト)",Directed by : Yusuke Suzuki Storyboarded by : Shigeyasu Yamauchi,Akiko Inoue,Toshio Deguchi & Keita Saitō,"September 12, 2021",,,,,,
992,101,"""Desire to be Oden! Yamato's Dream!"" Transliteration: ""Oden ni Naritai – Yamato no Omoi"" (Japanese: おでんになりたい ヤマトの思い)",Directed by : Toshihiro Maeya Storyboarded by : Yutaka Nakashima & Aya Komaki,Shinzō Fujita,Shinichi Suzuki,"September 19, 2021",,,,,,
993,102,"""Explosive?! The Handcuffs that Shackle Yamato's Freedom!"" Transliteration: ""Bakuhatsu!? Yamato no Jiyū o Shibaru Jō!"" (Japanese: 爆発!? ヤマトの自由を縛る錠！)",Masahiro Hosoda,Hitoshi Tanaka,Masayuki Takagi,"September 26, 2021",,,,,,
994,103,"""The Akazaya Face-off! Kikunojo vs. Kanjuro!"" Transliteration: ""Akazaya Ikkiuchi – Kikunojō tai Kanjūrō"" (Japanese: 赤鞘一騎打ち 菊之丞VSカン十郎)",Yasunori Koyama,Tomohiro Nakayama,Masahiro Shimanuki,"October 3, 2021",,,,,,
995,104,"""Raid! Inheriting Oden's Will"" Transliteration: ""Uchiiri! Uketsugu Oden no Ishi"" (Japanese: 討入り！受け継ぐおでんの意志)",Satoshi Itō,Shōji Yonemura,Shigefumi Shingaki,"October 10, 2021",,,,,,
996,105,"""Onigashima in Tumult! Luffy's All-Out War Begins!"" Transliteration: ""Onigashima Gekidō – Rufi Zenmen Sensō Kaishi"" (Japanese: 鬼ヶ島激動 ルフィ全面戦争開始)",Yutaka Nakashima,Ryo Yamazaki,Kazuya Hisada,"October 24, 2021",,,,,,
997,106,"""The Battle Under the Moon! The Berserker, Sulong the Moon Lion!"" Transliteration: ""Gekka no Tatakai – Kyōsenshi ""Sūron"""" (Japanese: 月下の戦い 狂戦士""月の獅子"")",Katsumi Tokoro,Akiko Inoue,Kenji Yokoyama,"October 31, 2021",,,,,,
998,107,"""Zeus' Treason?! The Cornered Nami!"" Transliteration: ""Zeusu no Hangyaku!? Nami Zettai Zetsumei!"" (Japanese: ゼウスの反逆!? ナミ絶体絶命！)",Kenichi Takeshita,Shinzō Fujita,Shūichi Itō,"November 7, 2021",,,,,,
999,108,"""I'll Protect You! Yamato Meets Momonosuke!"" Transliteration: ""Kimi o Mamoru – Kaikō Yamato to Momonosuke"" (Japanese: 君を守る 邂逅ヤマトとモモの助)",Yusuke Suzuki,Hitoshi Tanaka,Kimitaka Itō & Toshio Deguchi,"November 14, 2021",,,,,,
1000,109,"""Overwhelming Strength! The Straw Hats Come Together!"" Transliteration: ""Attōteki Senryoku! Mugiwara no Ichimi Shūketsu"" (Japanese: 圧倒的戦力！麦わらの一味集結)",Directed by : Kōhei Kureta Storyboarded by : Aya Komaki & Kōhei Kureta,Shōji Yonemura,"Yong-Ce Tu, Midori Matsuda & Keiichi Ichikawa","November 21, 2021",,,,,,
1001,110,"""A Risky Invitation! A Plot to Eliminate Queen!"" Transliteration: ""Kiken na Sasoi! Kuīn Massatsu Keikaku"" (Japanese: 危険な誘い！クイーン抹殺計画)",Tasuku Shimaya,Tomohiro Nakayama,Keita Saitō & Masahiro Kitazaki,"November 28, 2021",,,,,,
1002,111,"""A New Rivalry! Nami and Ulti!"" Transliteration: ""Arata na Innen! Nami to Uruti!"" (Japanese: 新たな因縁！ナミとうるティ！)",Directed by : Toshihiro Maeya Storyboarded by : Yutaka Nakashima,Ryo Yamazaki,Shinichi Suzuki,"December 5, 2021",,,,,,
1003,112,"""A Heroic Blade! Akazaya vs. Kaido, Again Once More!"" Transliteration: ""Hisō no Yaiba! Akazaya tai Kaidō Futatabi"" (Japanese: 悲壮の刃！赤鞘VSカイドウ再び)","Directed by : Nanami Michibata Storyboarded by : Masahiro Hosoda, Nanami Michibata & Tatsuya Nagamine",Atsuhiro Tomioka,Masayuki Takagi,"December 12, 2021",,,,,,
1004,113,"""An Inherited Technique! Unleashing Oden's Secret Swordplay!"" Transliteration: ""Uketsugishi Waza – Sakuretsu Oden no Hiken"" (Japanese: 受け継ぎし技 炸裂おでんの秘剣)",Masahiro Shimanuki,Akiko Inoue,Yasunori Koyama,"December 19, 2021",,,,,,
1005,114,"""The Power of Ice Oni! A New Version of the Plague Rounds!"" Transliteration: ""「Kōri Oni」no Iryoku! Arata na Ekisaito Dan"" (Japanese: 「氷鬼」の威力！新たな疫災弾)",Directed by : Shō Inuzuka Storyboarded by : Yutaka Nakashima,Shinzō Fujita,Shigefumi Shingaki,"January 9, 2022",,,,,,
1006,115,"""I Won't Forgive Him! Chopper's Determination!"" Transliteration: ""Yurusanē! Choppā no Ketsui!"" (Japanese: 許さねェ！チョッパーの決意！)",Directed by : Ryōsuke Tanaka Storyboarded by : Ryōsuke Tanaka & Tatsuya Nagamine,Hitoshi Tanaka,Kazuya Hisada,"January 16, 2022",,,,,,
1007,116,"""Zoro's Pursuit! Ice Oni Tag!"" Transliteration: ""Zoro no Tsuigeki! Kōri Oni in Onigokko"" (Japanese: ゾロの追撃！氷鬼in鬼ゴッコ)",Katsumi Tokoro,Tomohiro Nakayama,Kenji Yokoyama,"January 23, 2022",,,,,,
1008,117,"""Nami Surrenders?! Ulti's Fierce Headbutt!"" Transliteration: ""Nami Kōfuku!? Uruti no Mō-zutsuki"" (Japanese: ナミ降伏!? うるティの猛頭突き)",Directed by : Tasuku Shimaya Storyboarded by : Yutaka Nakashima & Tasuku Shimaya,Shōji Yonemura,Shūichi Itō,"January 30, 2022",,,,,,
1009,118,"""Sasaki's Onslaught! Armored Division vs. Yamato!"" Transliteration: ""Sasaki no Mōkō – Sōkōbutai tai Yamato"" (Japanese: ササキの猛攻 装甲部隊VSヤマト)",Yusuke Suzuki,Ryo Yamazaki,Toshio Deguchi & Kimitaka Itō,"February 6, 2022",,,,,,
1010,119,"""Eliminate the Ice Oni! Chopper's Fire Trick!"" Transliteration: ""Kōri Oni o Yabure – Choppā no Hisaku!"" (Japanese: 氷鬼を破れ チョッパーの火策！)",Kōhei Kureta,Akiko Inoue,Midori Matsuda & Kazuya Hisada,"February 13, 2022",,,,,,
1011,120,"""It's Not Okay! The Spider Lures Sanji!"" Transliteration: ""Yokanē yo!! Sanji o Sasou Kumo"" (Japanese: よかねェよ!! サンジを誘う蜘蛛)",Masahiro Hosoda,Shinzō Fujita,"Keita Saitō, Masahiro Kitazaki & Shigenori Taniguchi","February 20, 2022",,,,,,
1012,121,"""A Turnaround Move! The Flames of Marco the Phoenix!"" Transliteration: ""Gyakuten no Itte! Fushichō Maruko no Honō"" (Japanese: 逆転の一手！不死鳥マルコの炎)",Directed by : Toshihiro Maeya Storyboarded by : Yutaka Nakashima,Hitoshi Tanaka,Shinichi Suzuki,"February 27, 2022",,,,,,
1013,122,"""Yamato's Past! The Man Who Came for an Emperor of the Sea!"" Transliteration: ""Yamato no Kako – Yonkō no Kubi o Nerau Otoko"" (Japanese: ヤマトの過去 四皇の首を狙う男)",Ryōta Nakamura,Tomohiro Nakayama,Masayuki Takagi,"March 6, 2022",,,,,,
1014,123,"""Marco's Tears! The Bond of the Whitebeard Pirates!"" Transliteration: ""Maruko no Namida! Shirohige Kaizokudan no Kizuna"" (Japanese: マルコの涙！白ひげ海賊団の絆)",Katsumi Tokoro,Shōji Yonemura,Masahiro Shimanuki,"April 17, 2022[11]",,,,,,
1015,124,"""Straw Hat Luffy! The Man Who Will Become the King of the Pirates!"" Transliteration: ""Mugiwara no Rufi – Kaizoku Ō ni Naru Otoko"" (Japanese: 麦わらのルフィ 海賊王になる男)",Megumi Ishitani,Ryo Yamazaki,Keisuke Mori & Kimitaka Itō,"April 24, 2022",,,,,,
1016,125,"""The Battle of the Monsters! The Three Stubborn Captains!"" Transliteration: ""Kaibutsu Kessen! Iji Hariau San Senchō"" (Japanese: 怪物決戦！意地張りあう三船長)",Directed by : Yasunori Koyama Storyboarded by : Yutaka Nakashima,Atsuhiro Tomioka,Shigefumi Shingaki,"May 8, 2022",,,,,,
1017,126,"""A Barrage of Powerful Techniques! The Fierce Attacks of the Worst Generation!"" Transliteration: ""Ōwaza Renpatsu! Saiaku no Sedai no Mōkō!"" (Japanese: 大技連発！最悪の世代の猛攻！)","Directed by : Kōhei Kureta & Nanami Michibata Storyboarded by : Satoshi Itō, Tatsuya Nagamine, Henry Thurlow, Nanami Michibata & Katsumi Ishizuka",Akiko Inoue,Yong-Ce Tu,"May 15, 2022",,,,,,
1018,127,"""Kaido Laughs! The Emperors of the Sea vs. New Generation!"" Transliteration: ""Warau Kaidō! Yonkō tai Shin Sedai!"" (Japanese: 笑うカイドウ！四皇VS新世代！)",Kenichi Takeshita,Shinzō Fujita,Kenji Yokoyama,"May 22, 2022",,,,,,
1019,128,"""Otama's Secret Plan! Operation Kibi Dango!"" Transliteration: ""Otama no Hisaku! Kibi Dango Dai Sakusen"" (Japanese: お玉の秘策！きびだんご大作戦)",Ryōsuke Tanaka,Hitoshi Tanaka,Keita Saitō & Toshio Deguchi,"May 29, 2022",,,,,,
1020,129,"""Sanji's Scream! An SOS Echoes Over the Island!"" Transliteration: ""Sanji Zekkyō! Shimajū ni Hibiku Esu Ō Esu"" (Japanese: サンジ絶叫！島中に響くSOS)",Tasuku Shimaya,Tomohiro Nakayama,Kazuya Hisada,"June 5, 2022",,,,,,
1021,130,"""Spank Strikes! Sanji's Woman-trouble!"" Transliteration: ""Supanku Sakutersu! Sanji no Jonan!"" (Japanese: スパンク炸裂！サンジの女難！)",Masahiro Hosoda,Atsuhiro Tomioka,Shūichi Itō,"June 12, 2022",,,,,,
1022,131,"""No Regrets! Luffy and Boss, a Master-Disciple Bond!"" Transliteration: ""Kui Nashi – Rufi to Oyabun Shitei no Kizuna"" (Japanese: 悔いなし ルフィと親分師弟の絆)",Directed by : Yusuke Suzuki Storyboarded by : Yusuke Suzuki & Yutaka Nakashima,Ryo Yamazaki,Masayuki Takagi,"June 19, 2022",,,,,,
1023,132,"""All Set! Chopperhage Nebulizer!"" Transliteration: ""Junbi Ōkē! Chopafāji Neburaizā"" (Japanese: 準備OK! チョパファージ霧砲（ネブライザー）)",Directed by : Toshihiro Maeya Storyboarded by : Yutaka Nakashima,Atsuhiro Tomioka,Shinichi Suzuki,"July 3, 2022",,,,,,
1024,133,"""Oden Appears! The Confused Hearts of the Akazaya Members!"" Transliteration: ""Oden Arawaru! Yureru Akazaya no Kokoro!"" (Japanese: おでん現る！揺れる赤鞘の心！)",Directed by : Shō Inuzuka Storyboarded by : Yutaka Nakashima,Akiko Inoue,Masahiro Shimanuki,"July 10, 2022",,,,,,
1025,134,"""The Worst Generation Gets Wiped Out?! The Emperors' Deadly Attack!"" Transliteration: ""Saiaku no Sedai Zenmetsu!? Yonkō no Ōwaza!"" (Japanese: 最悪の世代全滅!? 四皇の大技！)",Katsumi Tokoro,Shinzō Fujita,Shigefumi Shingaki,"July 17, 2022",,,,,,
1026,135,"""The Supernovas Strike Back! The Mission to Tear Apart the Emperors!"" Transliteration: ""Chōshinsei Hangeki! Yonkō Bunkai Sakusen"" (Japanese: 超新星反撃！四皇分解作戦)",Ryōta Nakamura,Hitoshi Tanaka,"Masahiro Kitazaki, Kimitaka Itō, Yong-Ce Tu & Toshio Deguchi","July 24, 2022",,,,,,
1027,136,"""Defend Luffy! Zoro and Law's Sword Technique!"" Transliteration: ""Rufi o Mamore! Zoro to Rō no Kengi"" (Japanese: ルフィを守れ！ゾロとローの剣技)",Tatsuya Nagamine,Tomohiro Nakayama,Midori Matsuda & Keita Saitō,"July 31, 2022",,,,,,
1028,137,"""Surpass the Emperor of the Sea! Luffy Strikes Back with an Iron Fist!"" Transliteration: ""Yonkō o Koero – Rufi Hangeki no Tekken"" (Japanese: 四皇を超えろ ルフィ反撃の鉄拳)",Yasunori Koyama,Shōji Yonemura,Kazuya Hisada,"August 7, 2022",,,,,,
Uta's Past,Uta's Past,Uta's Past,Uta's Past,Uta's Past,Uta's Past,Uta's Past,Uta's Past,Uta's Past,Uta's Past,Uta's Past,Uta's Past,Uta's Past
1029,138,"""A Faint Memory! Luffy and Red-Haired's Daughter Uta!"" Transliteration: ""Awai Kioku – Rufi to Akagami no Musume Uta"" (Japanese: 淡い記憶 ルフィと赤髪の娘ウタ)",Shigeyasu Yamauchi,Akiko Inoue,Shaolei Li,"August 14, 2022",,,,,,
1030,139,"""A Pledge for the Next Genesis! Luffy and Uta!"" Transliteration: ""Shin Jidai no Chikai! Rufi to Uta"" (Japanese: 新時代の誓い！ルフィとウタ)",Katsumi Tokoro,Ryo Yamazaki,Kenji Yokoyama,"August 21, 2022",,,,,,
Wano Country,Wano Country,Wano Country,Wano Country,Wano Country,Wano Country,Wano Country,Wano Country,Wano Country,Wano Country,Wano Country,Wano Country,Wano Country
1031,140,"""Nami Screams – A Deadly Death Race!"" Transliteration: ""Nami Zekkyō – Zettai Zetsumei Desu Rēsu!"" (Japanese: ナミ絶叫 絶体絶命デスレース！)",Satoshi Itō,Ryo Yamazaki,Shūichi Itō,"September 4, 2022",,,,,,
1032,141,"""The Dawn of the Land of Wano – The All-Out Battle Heats Up!"" Transliteration: ""Wano Kuni no Yoake – Zenmen Taiketsu Gekika!"" (Japanese: ワノ国の夜明け 全面対決激化！)",Directed by : Tasuku Shimaya Storyboarded by : Yutaka Nakashima & Tasuku Shimaya,Atsuhiro Tomioka,Masayuki Takagi,"September 11, 2022",,,,,,
1033,142,"""The Conclusion! Luffy, Accelerating Fist of the Conqueror"" Transliteration: ""Ketchaku! Rufi Kasoku Suru Haō no Kobushi"" (Japanese: 決着！ルフィ加速する覇王の拳)",Ryōsuke Tanaka,Akiko Inoue,"Masahiro Kitazaki, Kimitaka Itō & Yong-Ce Tu","September 18, 2022",,,,,,
1034,143,"""Luffy, Defeated! The Straw Hats in Jeopardy?!"" Transliteration: ""Rufi Haiboku! Mugiwara no Ichimi Kyūchi!?"" (Japanese: ルフィ敗北！麦わらの一味窮地!?)",Satohiko Sano,Shinzō Fujita,Masahiko Inuzuka & Satohiko Sano,"September 25, 2022",,,,,,
1035,144,"""The Beasts Trample Down! The End of the Kouzuki Family!"" Transliteration: ""Hyakujū Jūrin! Kōzuki-ke no Shūen!"" (Japanese: 百獣蹂躙！光月家の終焉！)",Directed by : Shō Inuzuka Storyboarded by : Yutaka Nakashima,Hitoshi Tanaka,Masahiro Shimanuki,"October 2, 2022",,,,,,
1036,145,"""Fight Against the Dark Night – The Commander-in-chief of the Land of Wano Sounds Off"" Transliteration: ""Yamiyo ni Aragae – Wano Kuni Sōdaishō Hoeru"" (Japanese: 闇夜に抗え ワノ国総大将吠える)",Yusuke Suzuki,Tomohiro Nakayama,Shigefumi Shingaki,"October 16, 2022",,,,,,
1037,146,"""Believe in Luffy! The Alliance's Counterattack Begins!"" Transliteration: ""Rufi o Shinjiro! Dōmei Hangeki Kaishi!"" (Japanese: ルフィを信じろ！同盟反撃開始！)",Masahiro Hosoda,Shōji Yonemura,Keita Saitō & Toshio Deguchi,"October 23, 2022",,,,,,
1038,147,"""Nami's Lethal Attack! Otama's Desperate Challenge!"" Transliteration: ""Nami Hissatsu! Otama Kesshi no Ōichiban!"" (Japanese: ナミ必殺！お玉決死の大一番！)",Directed by : Nanami Michibata Storyboarded by : Kōhei Kureta & Nanami Michibata,Ryo Yamazaki,Kazuya Hisada,"October 30, 2022",,,,,,
1039,148,"""A Dramatic Increase of Allies! Straw Hats Fight Back!"" Transliteration: ""Mikata Gekizō! Mugiwara no Ichimi Gyakushū!"" (Japanese: 味方激増！麦わらの一味逆襲！)",Kenichi Takeshita,Atsuhiro Tomioka,Kenji Yokoyama,"November 6, 2022",,,,,,
1040,149,"""The Pride of a Helmsman? The Enraged Jimbei!"" Transliteration: ""Sōdashu no Hokori – Ikari no Jinbē!"" (Japanese: 操舵手の誇り 怒りのジンベエ！)",Katsumi Tokoro,Akiko Inoue,Shūichi Itō,"November 13, 2022",,,,,,
1041,150,"""Showdown Battles of the Monsters! Yamato and Franky"" Transliteration: ""Kaijū Dai Kessen! Yamato to Furankī"" (Japanese: 怪獣大決戦！ヤマトとフランキー)",Directed by : Tasuku Shimaya Storyboarded by : Yutaka Nakashima & Tasuku Shimaya,Shinzō Fujita,Masayuki Takagi,"November 20, 2022",,,,,,
1042,151,"""The Predator's Trap - Black Maria's Temptation"" Transliteration: ""Hoshokusha no Wana - Burakku Maria no Yūwaku"" (Japanese: 捕食者の罠 ブラックマリアの誘惑)",Shigeyasu Yamauchi,Hitoshi Tanaka,"Shaolei Li, Takuya Imakado, Mami Kotoku & Zhenlei Cheng","November 27, 2022",,,,,,
1043,152,"""Slash the Nightmare - Brook Draws His Freezing Sword!"" Transliteration: ""Akumu o Kiru - Burukku no Kōri no Battō!"" (Japanese: 悪夢を斬る ブルックの氷の抜刀！)",Directed by : Shō Matsui Storyboarded by : Yutaka Nakashima,Tomohiro Nakayama,Masahiro Kitazaki,"December 4, 2022",,,,,,
1044,153,"""Clutch! A Demon Incarnate, Robin!"" Transliteration: ""Kuratchi! Akuma no Keshin - Robin!"" (Japanese: クラッチ！悪魔の化身 ロビン！)",Yasunori Koyama,Shōji Yonemura,Masahiro Shimanuki & Ziwei He,"December 11, 2022",,,,,,
1045,154,"""A Spell! Kid and Zoro Facing Threats!"" Transliteration: ""Jubaku! Semaru Kyōi - Kiddo to Zoro!"" (Japanese: 呪縛！迫る脅威 キッドとゾロ！)",Yūji Tokuno,Atsuhiro Tomioka,Shigefumi Shingaki,"December 18, 2022",,,,,,
1046,155,"""Taking a Chance! The Two Arms Go into Battle!"" Transliteration: ""Ichikabachika no Ōshōbu! Ryōyoku Shutsujin!"" (Japanese: 一か八かの大勝負！両翼出陣！)",Shō Inuzuka,Shinzō Fujita,Keita Saitō & Toshio Deguchi,"January 8, 2023",,,,,,
1047,156,"""Ascend to the Dawn! A Pink Dragon Gets Agitated"" Transliteration: ""Yoake e to Nobore! Momoiro no Ryū Takeru"" (Japanese: 夜明けへと昇れ！桃色の龍猛る)",Yutaka Nakashima,Hitoshi Tanaka,Kazuya Hisada,"January 15, 2023",,,,,,
1048,157,"""For the Future! Yamato and the Great Swordsmen's Pledge"" Transliteration: ""Mirai e! Yamato to Dai Kengō no Chikai"" (Japanese: 未来へ！ヤマトと大剣豪の誓い)",Ryōsuke Tanaka,Tomohiro Nakayama,Kenji Yokoyama,"January 22, 2023",,,,,,
1049,158,"""Luffy Soars! Revenge Against the King of the Beasts"" Transliteration: ""Rufi Hishō! Hyakujū e no Ribenji"" (Japanese: ルフィ飛翔！百獣へのリベンジ)",Yusuke Suzuki,Shōji Yonemura,Shūichi Itō,"January 29, 2023",,,,,,
1050,159,"""Two Dragons Face Off! Momonosuke's Determination!"" Transliteration: ""Sōryū Aiutsu! Momonosuke no Kakugo!"" (Japanese: 双竜相搏つ！モモの助の覚悟！)",Masahiro Hosoda,Ryo Yamazaki,Masayuki Takagi,"February 5, 2023",,,,,,
1051,160,"""A Legend All Over Again! Luffy's Fist Roars in the Sky"" Transliteration: ""Densetsu no Sairai! Ten ni Todoroku Rufi no Kobushi"" (Japanese: 伝説の再来！天に轟くルフィの拳)",Wataru Matsumi,Atsuhiro Tomioka,Masahiro Kitazaki,"February 12, 2023",,,,,,
1052,161,"""The Situation Has Grown Tense! The End of Onigashima!"" Transliteration: ""Fūun Kyū o Tsugeru! Onigashima no Matsuro!"" (Japanese: 風雲急を告げる！鬼ヶ島の末路！)",Tasuku Shimaya,Akiko Inoue,Masahiro Shimanuki,"February 19, 2023",,,,,,
1053,162,"""Sanji's Mutation? The Two Arms in Crisis!"" Transliteration: ""Sanji no Ihen - Ryōyoku Kiiro Shingō!"" (Japanese: サンジの異変 両翼黄色信号！)",Katsumi Tokoro,Shinzō Fujita,Shigefumi Shingaki,"February 26, 2023",,,,,,
1054,163,"""Death to Your Partner! Killer's Deadly Gamble!"" Transliteration: ""Aibō ni Shi o! Kirā Kesshi no Ōbakuchi"" (Japanese: 相棒に死を！キラー決死の大博打)",Directed by : Yūji Tokuno & Yasunori Koyama Storyboarded by : Yutaka Nakashima,Hitoshi Tanaka,Keita Saitō & Toshio Deguchi,"March 19, 2023",,,,,,
1055,164,"""A Shadowy Figure Pulls the Strings! Onigashima in Flames"" Transliteration: ""Yami no Mono no An'yaku! Onigashima Enjō"" (Japanese: 闇の者の暗躍！鬼ヶ島炎上)",Directed by : Hazuki Omoya Storyboarded by : Kenichi Takeshita & Hazuki Omoya,Tomohiro Nakayama,Kazuya Hisada,"March 26, 2023",,,,,,
1056,165,"""A Countercharge! Law and Kid's Return-Attack Combination"" Transliteration: ""Gyakushū! Rō to Kiddo no Hangeki Dōmei"" (Japanese: 逆襲！ローとキッドの反撃同盟)",Directed by : Shō Matsui Storyboarded by : Yutaka Nakashima,Shōji Yonemura,Masahiro Kitazaki & Kimitaka Itō,"April 2, 2023",,,,,,
1057,166,"""For Luffy - Sanji and Zoro's Oath"" Transliteration: ""Rufi no Tame ni - Sanji to Zoro no Chikai"" (Japanese: ルフィの為に サンジとゾロの誓い)",Directed by : Nanami Michibata Storyboarded by : Nanami Michibata & Satoshi Itō,Ryo Yamazaki,Kenji Yokoyama,"April 9, 2023",,,,,,
1058,167,"""The Onslaught of Kazenbo - Orochi's Evil Clutches Close in"" Transliteration: ""Kazenbō Shūrai - Semaru Orochi no Ma no Te"" (Japanese: 火前坊襲来 迫るオロチの魔の手)",Shō Inuzuka,Atsuhiro Tomioka,Shūichi Itō,"April 16, 2023",,,,,,
1059,168,"""Zoro Faces Adversity - A Monster! King the Wildfire"" Transliteration: ""Gyakkyō no Zoro - Kaibutsu! Kasai no Kingu"" (Japanese: 逆境のゾロ 怪物！火災のキング)",Yusuke Suzuki,Akiko Inoue,Masayuki Takagi,"April 23, 2023",,,,,,
1060,169,"""The Secret of Enma! The Cursed Sword Entrusted to Zoro"" Transliteration: ""Enma no Himitsu! Zoro ni Takusareshi Yōtō"" (Japanese: 閻魔の秘密！ゾロに託されし妖刀)",Directed by : Tasuku Shimaya Storyboarded by : Tatsuya Nagamine & Wataru Matsumi,Shinzō Fujita,Midori Matsuda & Masahiro Shimanuki,"April 30, 2023",,,,,,
1061,170,"""The Strike of an Ifrit! Sanji vs. Queen"" Transliteration: ""Majin no Ichigeki! Sanji tai Kuīn"" (Japanese: 魔神の一撃！サンジVSクイーン)",Ryōta Nakamura,Hitoshi Tanaka,Shigefumi Shingaki & Yong-Ce Tu,"May 7, 2023",,,,,,
1062,171,"""The Three-Sword Style of the Conqueror! Zoro vs. King"" Transliteration: ""Haō no Santōryū! Zoro tai Kingu"" (Japanese: 覇王の三刀流！ゾロVSキング)",Directed by : Ryōsuke Tanaka Storyboarded by : Ryōsuke Tanaka & Katsumi Ishizuka,Tomohiro Nakayama,"Keita Saitō, Midori Matsuda & Katsumi Ishizuka","May 21, 2023",,,,,,
1063,172,"""Luffy is on the Move! A Turning Point to a New Era!"" Transliteration: ""Rufi Yakudō! Shin Jidai no Bunkiten!"" (Japanese: ルフィ躍動！新時代の分岐点！)",Masahiro Hosoda,Shōji Yonemura,Toshio Deguchi,"May 28, 2023",,,,,,
1064,173,"""Drunken Dragon Bagua! The Lawless Dragon Closing in on Luffy"" Transliteration: ""Shuron Hakke! Rufi ni Semaru Muhō no Ryū"" (Japanese: 酒龍八卦！ルフィに迫る無法の龍)",Katsumi Tokoro,Ryo Yamazaki,Kazuya Hisada,"June 4, 2023",,,,,,
1065,174,"""The Destruction of the Alliance?! Fire up, the Will of the New Generation!"" Transliteration: ""Dōmei Kaimetsu!? Moero Shin Sedai no Ishi!"" (Japanese: 同盟壊滅!? 燃えろ新世代の意志！)",Hazuki Omoya,Atsuhiro Tomioka,Shigefumi Shingaki & Kimitaka Itō,"June 11, 2023",,,,,,
1066,175,"""Here Comes Main Act! Powerful Techniques of Shockwave and Magnetism"" Transliteration: ""Ōtori Kitaru! Hadō to Jiki no Ōwaza"" (Japanese: 大トリ来る！波動と磁気の大技)",Henry Thurlow,Akiko Inoue,Masahiro Kitazaki,"June 25, 2023",,,,,,
1067,176,"""To the New Era! Settled! The Determination of the Brats"" Transliteration: ""Shin Jidai e! Ketchaku! Gaki-domo no Kakugo"" (Japanese: 新時代へ！決着！ガキ共の覚悟)",Kenichi Takeshita,Shinzō Fujita,Kenji Yokoyama,"July 2, 2023",,,,,,
